영업상태코드,영업상태명,지번주소,도로명주소,사업장명,전화번호,업태구분명,위생업태명,거리_km
3,폐업,서울특별시 용산구 이태원동 117-5번지 ,,켄터키후라이드치킨이,02 7943818,패스트푸드,패스트푸드,0.42304912648655824
3,폐업,서울특별시 용산구 이촌동 300-23번지 ,,케이에프씨이촌점,02   00000,패스트푸드,패스트푸드,2.0492247925848854
3,폐업,서울특별시 용산구 이태원동 67-1번지 ,,위너스햄버거이태원점,02 7943444,패스트푸드,패스트푸드,0.4078269232415985
3,폐업,서울특별시 용산구 청파동3가 29-0번지 ,,위너스버거숙대점,0207113047,패스트푸드,패스트푸드,2.5944390751285247
3,폐업,서울특별시 용산구 갈월동 90-8번지 ,서울특별시 용산구 한강대로 275 (갈월동),베네숙대입구역점,02 7026232,패스트푸드,패스트푸드,2.3214230751624436
3,폐업,서울특별시 용산구 이태원동 126-15번지 ,,태인유통이태원점,02 7902094,편의점,편의점,0.46104183069015386
3,폐업,서울특별시 용산구 한남동 75-1번지 ,,위너스버거,02 7162389,패스트푸드,패스트푸드,1.310641159830255
3,폐업,서울특별시 용산구 이촌동 300-10번지 점보상가102호 ,,앰브로시아델리하우스,,패스트푸드,패스트푸드,1.9036236861102684
3,폐업,서울특별시 용산구 한강로3가 16-9번지 ,,랜드하우스,0200000000,패스트푸드,패스트푸드,2.9874917911482917
3,폐업,서울특별시 용산구 이태원동 658-0번지 ,,테인로손이태원2점,0207939679,편의점,편의점,1.050469573172553
3,폐업,서울특별시 용산구 이촌동 300-19번지 ,,코오롱마트(주)로손동부이촌점,,편의점,편의점,1.9357364154848438
3,폐업,서울특별시 용산구 동자동 43-121번지 ,,훼미리마트동자역전점,02 5944834,편의점,편의점,3.0636107316177545
3,폐업,서울특별시 용산구 후암동 244-9번지 ,,LG25후암점,0207737441,편의점,편의점,2.5006455673242334
3,폐업,서울특별시 용산구 한남동 683-132번지 ,,훼미리마트이태원점,02 7960771,편의점,편의점,0.9290487489788741
3,폐업,서울특별시 용산구 한남동 657-111번지 ,,훼미리마트순천향점,02 7497171,편의점,편의점,1.0978566186641712
3,폐업,서울특별시 용산구 한남동 64-1번지 ,,알파플러스단대점,0200000000,편의점,편의점,1.3316037980924318
3,폐업,서울특별시 용산구 갈월동 59-4번지 ,,훼미리마트갈월하나점,02 7797145,편의점,편의점,2.446659234234218
3,폐업,서울특별시 용산구 이촌동 301-160번지 ,,훼미리마트이촌한강점,02 7961389,편의점,편의점,1.7334035202754192
3,폐업,서울특별시 용산구 남영동 61-4번지 ,,훼미리마트남영1호점,0207940486,편의점,편의점,2.327377081221768
3,폐업,서울특별시 용산구 이태원동 136-45번지 ,,미니스톱이태원점,0207495588,편의점,편의점,0.42482220284613
3,폐업,서울특별시 용산구 용문동 27-4번지 ,,에이엠피엠용문점,02 7014371,편의점,편의점,3.0666365728297955
3,폐업,서울특별시 용산구 한남동 686-42번지 ,,동양마트한남2점,02 7906370,편의점,편의점,0.7266402856413927
3,폐업,서울특별시 용산구 한남동 631-5번지 ,,동양마트한남점,02   00000,편의점,편의점,1.088676370646909
3,폐업,서울특별시 용산구 보광동 488-0번지 ,,동양마트보광점,02   00000,편의점,편의점,
1,영업/정상,서울특별시 용산구 이촌동 301-151번지 1층 ,"서울특별시 용산구 이촌로 245, 1층 (이촌동)",세븐일레븐 이촌점,02 7662711,편의점,편의점,2.0660152379274725
3,폐업,서울특별시 용산구 동자동 19-40번지 ,,훼미리마트동자보람점,02 7781860,편의점,편의점,2.763207411922271
3,폐업,서울특별시 용산구 보광동 265-892번지 ,,해밀톤햄버거,02 7907825,패스트푸드,패스트푸드,0.6434328195233779
3,폐업,서울특별시 용산구 서계동 267-2번지 ,,토토스피자,,패스트푸드,패스트푸드,3.5789712742032873
3,폐업,서울특별시 용산구 이태원동 104-4번지 ,,펠리니,,패스트푸드,패스트푸드,0.57880259674837
3,폐업,서울특별시 용산구 용산동2가 1-1136번지 ,,버거나인체인점,02 7778250,패스트푸드,패스트푸드,1.855727000392286
3,폐업,서울특별시 용산구 원효로3가 118-0번지 ,,피자클럽,,패스트푸드,패스트푸드,3.228418564581267
3,폐업,서울특별시 용산구 한강로2가 207-0번지 ,,(주)보광훼미리마트용,0200000000,편의점,편의점,2.478805126446251
3,폐업,서울특별시 용산구 한강로3가 40-678 ,서울특별시 용산구 한강대로 49 (한강로3가),GS25 용산점,02 7921598,편의점,편의점,2.6728943495486
3,폐업,서울특별시 용산구 한남동 726-420번지 ,,바이더웨이(한남3호점,0207940735,편의점,편의점,1.5394025729413905
3,폐업,서울특별시 용산구 보광동 259-1번지 ,,엘지25보광점,02 7492928,편의점,편의점,0.5590302038123794
3,폐업,서울특별시 용산구 용산동1가 8-0번지 ,,버거나인전쟁기념관,02 5710999,편의점,편의점,1.580583142861405
3,폐업,서울특별시 용산구 이태원동 226-3번지 ,,바이.더.웨어,0206480000,편의점,편의점,1.0237442106344583
3,폐업,서울특별시 용산구 보광동 218-0번지 ,,써클케이코리아보광오,02 7979237,편의점,편의점,0.8074230774506319
3,폐업,서울특별시 용산구 한강로2가 140번지 ,,씨스페이스 신용산점,,패스트푸드,패스트푸드,2.11890752075849
3,폐업,서울특별시 용산구 동자동 43-54번지 43-55 ,,세븐일레븐서울역점,0232729365,편의점,편의점,3.1643580621009426
3,폐업,서울특별시 용산구 한강로3가 40-712번지 ,,훼미리햄버거용산지점,02 7952321,패스트푸드,패스트푸드,2.6142410290356373
3,폐업,서울특별시 용산구 남영동 25-3번지 ,서울특별시 용산구 한강대로 286-1 (남영동),피자몰,0207975955,패스트푸드,패스트푸드,2.3593958346783768
3,폐업,서울특별시 용산구 용문동 25-36번지 ,,피자한스,02 7980116,패스트푸드,패스트푸드,2.9644380415068503
3,폐업,서울특별시 용산구 청파동3가 111-9번지 ,,미니스톱청파점,02 7137592,편의점,편의점,2.7714710697110942
3,폐업,서울특별시 용산구 이태원동 136-45번지 ,,미원통상(주)이태원저,02 7495588,편의점,편의점,0.42482220284613
1,영업/정상,서울특별시 용산구 원효로2가 80-19 ,서울특별시 용산구 원효로53길 8 (원효로2가),코리아세븐 원효로점,0207113073,편의점,편의점,2.831664723757279
3,폐업,서울특별시 용산구 이태원동 728-2번지 ,,진로베스토아,,편의점,편의점,1.3303653783668947
3,폐업,서울특별시 용산구 한남동 64-1번지 ,,훼밀리마트한남단국대점,,편의점,편의점,1.3316037980924318
3,폐업,서울특별시 용산구 한강로3가 65-426번지 ,,도미노피자신용산점,02 7923060,패스트푸드,패스트푸드,2.2995896727548124
1,영업/정상,서울특별시 용산구 갈월동 53-19번지 그린빌파크 102호 ,"서울특별시 용산구 두텁바위로 13 (갈월동,그린빌파크 102호)",도미노피자후암점,02 7926660,패스트푸드,패스트푸드,2.3989881640920507
3,폐업,서울특별시 용산구 한남동 78-2번지 ,,파파이스,02 7498831,패스트푸드,패스트푸드,1.210917171942608
3,폐업,서울특별시 용산구 한남동 75-1번지 ,,미니스톱한남점,,편의점,편의점,1.310641159830255
3,폐업,서울특별시 용산구 한강로2가 346-1번지 ,,미니스톱용산점,0237853497,편의점,편의점,
3,폐업,서울특별시 용산구 이태원동 729-0번지 ,,훼밀리마트,,편의점,편의점,1.2045618336887605
3,폐업,서울특별시 용산구 보광동 234-1번지 ,,엘지25,02 7935751,편의점,편의점,
1,영업/정상,서울특별시 용산구 한남동 639-1번지 ,서울특별시 용산구 대사관로 66 (한남동),LG 25 한남제일점,02 7932446,편의점,편의점,1.0841914155924324
3,폐업,서울특별시 용산구 이태원동 126-15번지 ,,코오롱마트(주)로손이태원점,,편의점,편의점,0.46104183069015386
3,폐업,서울특별시 용산구 이태원동 658-0번지 ,,코오롱유통(주)로손이태원2점,02 7494112,편의점,편의점,1.050469573172553
3,폐업,서울특별시 용산구 한남동 79-3번지 ,,코오롱유통(주)로손이촌점,,편의점,편의점,1.1777742970814276
3,폐업,서울특별시 용산구 보광동 371-1번지 ,,크라운베이커리,02 7973230,패스트푸드,패스트푸드,0.6443099479646287
3,폐업,서울특별시 용산구 이촌동 300-23번지 ,,퍼키스피자,02 7945898,패스트푸드,패스트푸드,2.0492247925848854
3,폐업,서울특별시 용산구 이촌동 203-69번지 ,,블루바니,02 7064676,패스트푸드,패스트푸드,3.45186862357471
3,폐업,서울특별시 용산구 보광동 80-19번지 ,,비알코리아(주)보광점,,패스트푸드,패스트푸드,0.7964891330660474
3,폐업,서울특별시 용산구 이태원동 116-14번지 ,,지퍼,02 7698876,패스트푸드,패스트푸드,0.5231785724642645
1,영업/정상,서울특별시 용산구 이태원동 36-21 ,서울특별시 용산구 녹사평대로26길 30 (이태원동),세븐일레븐이태원점,02 7934944,편의점,편의점,0.16672958454959244
3,폐업,"서울특별시 용산구 청파동3가 111-35 가동 지상1,2,3층 ","서울특별시 용산구 청파로47길 57 (청파동3가, 가동 지상1,2,3층)",스타벅스숙대점,02 7049391,커피숍,커피숍,2.7949124878086575
3,폐업,서울특별시 용산구 갈월동 89-9번지 ,,롯데리아숙대역점,02 7170156,패스트푸드,패스트푸드,2.3761847434361956
3,폐업,서울특별시 용산구 한남동 631-5번지 ,,김밥나라,,편의점,편의점,1.088676370646909
3,폐업,서울특별시 용산구 한남동 64-1번지 ,,써클K-2,02 7933561,편의점,편의점,1.3316037980924318
3,폐업,서울특별시 용산구 보광동 218-0번지 ,,김밥,02 7979237,편의점,편의점,0.8074230774506319
1,영업/정상,서울특별시 용산구 이촌동 300-153 ,서울특별시 용산구 이촌로 248 (이촌동),세븐일레븐이촌2호점,02 7662711,편의점,편의점,2.1653456711776635
3,폐업,서울특별시 용산구 청파동2가 55-9 ,서울특별시 용산구 청파로47길 88 (청파동2가),에이그레이트카페숙대점,,커피숍,커피숍,2.9466729434329326
3,폐업,서울특별시 용산구 이촌동 301-44번지 ,,파스쿠찌이촌점,02 7908825,패스트푸드,패스트푸드,2.0116422393957993
3,폐업,서울특별시 용산구 이촌동 300-26번지 (한강맨션 21동 101-2호) ,"서울특별시 용산구 이촌로 248 (이촌동,(한강맨션 21동 101-2호))",미스터피자,02 7945570,패스트푸드,패스트푸드,2.1061021152167783
3,폐업,서울특별시 용산구 용산동2가 44-19번지 ,,코리아세븐일레븐편의점,02 7977410,편의점,편의점,1.31937279848932
3,폐업,서울특별시 용산구 이태원동 225-1번지 ,,베스킨라빈스이태원2호점,02 2102025,패스트푸드,패스트푸드,1.0706597283356583
3,폐업,서울특별시 용산구 원효로4가 118-16번지 ,,씨스페이스,02 7180317,편의점,편의점,3.8086185481920665
3,폐업,서울특별시 용산구 남영동 78-1 ,"서울특별시 용산구 한강대로 274, 1층 (남영동)",한국피자헛숙대역2호점,02 749 6578,패스트푸드,패스트푸드,2.2660439010905553
3,폐업,서울특별시 용산구 용문동 27-4번지 ,,바이더웨이용문점,02 7014371,패스트푸드,패스트푸드,3.0666365728297955
3,폐업,서울특별시 용산구 한남동 631-5번지 ,,바이더웨이(한남점),02 7939633,편의점,편의점,1.088676370646909
3,폐업,서울특별시 용산구 한남동 737-24번지 ,서울특별시 용산구 이태원로 223 (한남동),미니스톱 이태원제일점,,편의점,편의점,0.7081903081927347
1,영업/정상,"서울특별시 용산구 보광동 448 신동아아파트 상가1층 102호,103호 ","서울특별시 용산구 보광로 14 (보광동, 신동아아파트 상가1층 102호,103호)",세븐일레븐(보광점),02 7490108,편의점,편의점,0.9019768011508469
3,폐업,서울특별시 용산구 용산동2가 36번지 (지상1층) ,,피자개러리,02 7940330,패스트푸드,패스트푸드,1.5429747863295664
3,폐업,서울특별시 용산구 한남동 639-15번지 ,,진미식당,02 7983082,패스트푸드,패스트푸드,1.040095130355828
3,폐업,서울특별시 용산구 이태원동 128-3번지 ,,밀러스,02 7984372,패스트푸드,패스트푸드,0.4136877286338231
3,폐업,서울특별시 용산구 청파동3가 111-9번지 1층 ,,라바앤써브,02 7010555,커피숍,커피숍,2.7714710697110942
3,폐업,서울특별시 용산구 후암동 440-0번지 ,,미니스톱남산힐튼점,02 7781927,편의점,편의점,3.069647413910519
3,폐업,서울특별시 용산구 이촌동 300-26번지 한강맨션 102-1 ,"서울특별시 용산구 이촌로 248 (이촌동,한강맨션 102-1)",피자헛 이촌점,02 7980006,패스트푸드,패스트푸드,2.1061021152167783
3,폐업,서울특별시 용산구 청파동3가 115 외6필지 ,"서울특별시 용산구 청파로47길 95 (청파동3가, 외6필지)",삼성웰스토리(주)숙명여대도서관(휴),15448272,커피숍,커피숍,2.8750318455208683
3,폐업,서울특별시 용산구 이촌동 300-3번지 렉스상가 9-1 ,,라바짜,02 7777651,커피숍,커피숍,
1,영업/정상,서울특별시 용산구 용산동2가 17번지 지상2층 ,"서울특별시 용산구 신흥로 89, 지상2층 (용산동2가)",피자팜스,,패스트푸드,패스트푸드,1.8275602826201771
3,폐업,서울특별시 용산구 한남동 102-4번지 ,,프라미스피자,02 7902788,패스트푸드,패스트푸드,1.2712735999008908
3,폐업,서울특별시 용산구 용산동2가 1-531 ,서울특별시 용산구 신흥로20길 1 (용산동2가),롯데씨브이에스711 남산소월점,0262321806,편의점,편의점,1.8553399358886258
3,폐업,서울특별시 용산구 한남동 76-6번지 ,,케이에프씨한남동매장,,패스트푸드,패스트푸드,1.2231952115048768
3,폐업,서울특별시 용산구 한강로3가 16-9번지 ,,(주)두산 버거킹 용산전자점,,패스트푸드,패스트푸드,2.9874917911482917
3,폐업,서울특별시 용산구 한강로3가 1-3번지 ,"서울특별시 용산구 청파로 101, 1층 23호 (한강로3가)",롯데리아용산전자상가점,0232723902,패스트푸드,패스트푸드,2.7656938009532612
3,폐업,서울특별시 용산구 이촌동 301-169번지 렉스상가8호 ,,스타라이트,37853838,패스트푸드,패스트푸드,
3,폐업,서울특별시 용산구 청파동2가 53-12 (지상4층) ,"서울특별시 용산구 청파로47길 100 (청파동2가,(지상4층))",삼성웰스토리(주)숙명여대커피&(순헌관4F),15448272,커피숍,커피숍,3.0579470639417
1,영업/정상,서울특별시 용산구 산천동 77-4 외2 ,"서울특별시 용산구 효창원로 18 (산천동,외2)",세븐일레븐(산천점),02 7198691,편의점,편의점,3.7099063963491012
3,폐업,서울특별시 용산구 한남동 686-42번지 ,,세븐일레븐(한남점),02 7939064,편의점,편의점,0.7266402856413927
3,폐업,서울특별시 용산구 이태원동 102-29번지 ,,바인스,02 7936878,패스트푸드,패스트푸드,0.6041608076682781
3,폐업,서울특별시 용산구 청파동2가 71-40번지 ,,데미타세(Demitasse),02 7127046,패스트푸드,패스트푸드,2.706170102164376
3,폐업,서울특별시 용산구 서계동 266-73번지 ,,롯데리아(만리점),02 7139696,패스트푸드,패스트푸드,3.576704567719299
3,폐업,서울특별시 용산구 이태원동 169-1번지 ,,헬로빈스,7955619,커피숍,커피숍,0.4801093887239187
3,폐업,서울특별시 용산구 이태원동 118-34번지 (1층) ,,인디,,패스트푸드,패스트푸드,0.4229599341548849
3,폐업,서울특별시 용산구 이태원동 124-4번지 (1층) ,,스타라이트(JWSTARLITE),,패스트푸드,패스트푸드,0.5262558198592671
3,폐업,서울특별시 용산구 한강로3가 16-9번지 5층 2호 ,,롯데리아 용산전자랜드,7070055,패스트푸드,패스트푸드,2.9874917911482917
3,폐업,서울특별시 용산구 한강로3가 16-9번지 전자랜드본관4층B-3 ,,스위트랜드,02 7012322,패스트푸드,패스트푸드,2.9874917911482917
3,폐업,서울특별시 용산구 한강로3가 16-9번지 (5층3호) ,,무나키샬레,,패스트푸드,패스트푸드,2.9874917911482917
1,영업/정상,서울특별시 용산구 한강로2가 314-1번지 ,서울특별시 용산구 한강대로 109 (한강로2가),자바존,0220771390,패스트푸드,패스트푸드,2.232461261984768
1,영업/정상,서울특별시 용산구 한강로3가 16-9번지 본관 B-501호 ,"서울특별시 용산구 청파로 74, 지상6층 (한강로3가, 전자랜드본관 B-501호)",랜드클립에스프레소,02  714 5760,커피숍,커피숍,2.9874917911482917
3,폐업,서울특별시 용산구 이촌동 300-19번지 외 1필지 ,,세븐일레븐동부이촌점,02 7957985,편의점,편의점,1.9357364154848438
3,폐업,서울특별시 용산구 한남동 657-176번지 ,,세븐일레븐한남4호점,0237851689,편의점,편의점,1.1985067341964395
3,폐업,서울특별시 용산구 이촌동 302-28번지 ,,세븐일레븐이촌3호점,0237853856,편의점,편의점,2.729387317519333
1,영업/정상,서울특별시 용산구 이태원동 126-15 ,서울특별시 용산구 우사단로 46 (이태원동),세븐일레븐이태원2호점,02 7902094,편의점,편의점,0.46104183069015386
3,폐업,서울특별시 용산구 한강로3가 63-38번지 ,,세븐일레븐용산2호점,02 798 934,편의점,편의점,
