"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3020000","3020000-104-1966-02732","1966-12-20","","03","폐업","02","폐업","1995-05-02","","","","02 7956111","121.59","140-011","서울특별시 용산구 한강로1가 23-1번지 ","","","동심","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197716.472188249    ","448132.036096518    ","다방","0","0","기타","기타","상수도전용","","","","","","","","","N","121.59","","",""
"3020000","3020000-104-1967-02566","1967-12-23","","03","폐업","02","폐업","2013-05-27","","","","02 7944344","135.68","140-871","서울특별시 용산구 한강로2가 351-0번지 ","","","여백","2004-09-13 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","135.68","","",""
"3020000","3020000-104-1967-02622","1967-10-11","","01","영업/정상","01","영업","","","","","0207951990","95.52","140-160","서울특별시 용산구 남영동 94-6번지 ","서울특별시 용산구 한강대로80길 10 (남영동)","04352","귀향","2004-09-13 00:00:00","I","2018-08-31 23:59:59.0","다방","197577.022276586    ","448914.646282561    ","다방","0","2","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","95.52","","",""
"3020000","3020000-104-1967-02733","1967-10-11","","03","폐업","02","폐업","2005-12-29","","","","0207133333","50.90","140-847","서울특별시 용산구 원효로2가 86-8번지 ","","","해림","2004-09-13 00:00:00","I","2018-08-31 23:59:59.0","다방","196577.544734167    ","448075.781249087    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","50.9","","",""
"3020000","3020000-104-1967-02779","1967-10-10","","03","폐업","02","폐업","2003-07-16","","","","0207137463","120.12","140-100","서울특별시 용산구 문배동 11-0번지 ","","","중원","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","120.12","","",""
"3020000","3020000-104-1967-02810","1967-10-11","","03","폐업","02","폐업","1994-11-03","","","","0207125765","77.01","140-847","서울특별시 용산구 원효로2가 3-15번지 ","","","우리","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196892.836559124    ","448355.376118411    ","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","77.01","","",""
"3020000","3020000-104-1967-02815","1967-12-28","","03","폐업","02","폐업","1995-10-19","","","","0207952412","46.62","140-882","서울특별시 용산구 한강로3가 61-0번지 ","","","선향","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","46.62","","",""
"3020000","3020000-104-1967-02876","1967-10-10","","03","폐업","02","폐업","1994-09-07","","","","0207145544","109.09","140-821","서울특별시 용산구 동자동 43-66번지 ","","","역전","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197472.030891974    ","450252.766196402    ","다방","0","2","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","109.09","","",""
"3020000","3020000-104-1967-02885","1967-10-11","","03","폐업","02","폐업","1993-10-15","","","","02 7137662","62.89","140-111","서울특별시 용산구 원효로1가 133-11번지 ","","","은하","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","4","주택가주변","지도","상수도전용","","","","","","","","","N","62.89","","",""
"3020000","3020000-104-1967-02913","1967-10-11","","03","폐업","02","폐업","1992-04-21","","","","0207930474","48.40","140-160","서울특별시 용산구 남영동 84-8번지 ","","","성남","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197552.160288169    ","448884.572969999    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","48.4","","",""
"3020000","3020000-104-1967-02921","1967-10-07","","03","폐업","02","폐업","1992-06-02","","","","0207547885","52.38","140-901","서울특별시 용산구 후암동 244-57번지 ","","","샘","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197983.872997328    ","449590.85972559     ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","52.38","","",""
"3020000","3020000-104-1967-03104","1967-01-12","","03","폐업","02","폐업","2015-11-09","","","","02 7131764","40.81","140-896","서울특별시 용산구 효창동 5-34번지 ","서울특별시 용산구 효창원로69길 4 (효창동)","04319","케익나라","2015-11-09 14:39:35","I","2018-08-31 23:59:59.0","기타 휴게음식점","196557.336791556    ","448821.415968889    ","기타 휴게음식점","4","4","주택가주변","지도","상수도전용","","","","","","","","","N","40.81","","",""
"3020000","3020000-104-1967-03127","1967-10-11","","03","폐업","02","폐업","1994-11-29","","","","0207125708","65.90","140-847","서울특별시 용산구 원효로2가 84-1번지 ","","","황금제과점","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","과자점","196546.598003309    ","448172.266377937    ","과자점","1","1","기타","지도","상수도전용","","","","","","","","","N","65.9","","",""
"3020000","3020000-104-1968-02555","1968-03-28","","01","영업/정상","01","영업","","","","","0207136526","103.70","140-100","서울특별시 용산구 문배동 24-1번지 ","","","대원","2017-02-02 11:46:42","I","2018-08-31 23:59:59.0","다방","197261.679220894    ","448264.237024175    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","103.7","","",""
"3020000","3020000-104-1968-02646","1968-12-26","","03","폐업","02","폐업","1997-10-24","","","","0207138833","71.89","140-869","서울특별시 용산구 청파동1가 162번지 ","","","청일","2004-02-12 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","주택가주변","지도","상수도전용","","","","","","","","","N","71.89","","",""
"3020000","3020000-104-1968-02738","1968-11-15","","03","폐업","02","폐업","2007-04-25","","","","0207135282","96.69","140-111","서울특별시 용산구 원효로1가 133-29번지 ","","","임","2007-04-25 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","0","3","기타","지도","상수도전용","","","","","","","","","N","96.69","","",""
"3020000","3020000-104-1968-02825","1968-05-18","","03","폐업","02","폐업","1996-12-11","","","","0207954100","48.49","140-872","서울특별시 용산구 한강로2가 103-1번지 ","","","미","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","48.49","","",""
"3020000","3020000-104-1968-02826","1968-03-19","","03","폐업","02","폐업","1996-12-11","","","","0207959685","109.12","140-872","서울특별시 용산구 한강로2가 137-2번지 ","","","삼해","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","1","2","기타","갑","상수도전용","","","","","","","","","N","109.12","","",""
"3020000","3020000-104-1968-02832","1968-06-05","","03","폐업","02","폐업","1996-12-11","","","","0207957890","181.92","140-875","서울특별시 용산구 한강로2가 218-0번지 ","","","응접실","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196919.88598861     ","447161.55120023     ","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","181.92","","",""
"3020000","3020000-104-1968-02888","1968-12-27","","03","폐업","02","폐업","1996-12-11","","","","0207137620","50.31","140-100","서울특별시 용산구 문배동 33-0번지 ","","","복","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","1","주택가주변","지도","상수도전용","","","","","","","","","N","50.31","","",""
"3020000","3020000-104-1968-02891","1968-10-17","","03","폐업","02","폐업","1993-01-04","","","","0207015849","72.74","140-801","서울특별시 용산구 갈월동 8-3번지 ","","","한성","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197462.954360804    ","449438.967308464    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","72.74","","",""
"3020000","3020000-104-1969-02554","1969-08-23","","03","폐업","02","폐업","1996-02-21","","","","02 7940111","90.49","140-906","서울특별시 용산구 이촌동 301-139번지 ","","","제일다방","2004-02-10 00:00:00","I","2018-08-31 23:59:59.0","과자점","197656.310130477    ","446464.637811628    ","과자점","0","3","아파트지역","지도","상수도전용","","","","","","","","","N","90.49","","",""
"3020000","3020000-104-1969-02567","1969-08-28","","03","폐업","02","폐업","1999-06-17","","","","","63.70","140-871","서울특별시 용산구 한강로2가 256-2번지 ","","","커피마을","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197340.531736887    ","447805.256466029    ","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","63.7","","",""
"3020000","3020000-104-1969-02673","1969-10-01","","03","폐업","02","폐업","1995-04-12","","","","02 7547421","67.75","140-902","서울특별시 용산구 후암동 418-1번지 ","","","종점","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","198285.430608202    ","449430.578845452    ","다방","0","2","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","67.75","","",""
"3020000","3020000-104-1969-02754","1969-12-02","","03","폐업","02","폐업","2009-07-31","","","","02 7937862","60.31","140-160","서울특별시 용산구 남영동 12-2번지 (지하1층) ","","","약속다방","2009-07-03 16:27:49","I","2018-08-31 23:59:59.0","다방","197518.842758942    ","449200.075759995    ","다방","0","3","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","60.31","","",""
"3020000","3020000-104-1969-02773","1969-02-13","","03","폐업","02","폐업","2002-10-15","","","","0207132090","73.46","140-846","서울특별시 용산구 원효로1가 39-1번지 ","","","보리수","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197226.757663449    ","448727.566226289    ","다방","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","73.46","","",""
"3020000","3020000-104-1969-02787","1969-06-04","","03","폐업","02","폐업","2008-03-27","","","","0207524854","83.63","140-818","서울특별시 용산구 동자동 11-3번지 ","","","금정","2005-11-29 00:00:00","I","2018-08-31 23:59:59.0","기타 휴게음식점","197703.314956029    ","450122.985851126    ","기타 휴게음식점","0","2","기타","지도","상수도전용","","","","","","","","","N","83.63","","",""
"3020000","3020000-104-1969-02793","1969-12-26","","03","폐업","02","폐업","1990-03-30","","","","0207957928","67.50","140-833","서울특별시 용산구 용산동2가 1-21번지 ","","","비둘기","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","67.5","","",""
"3020000","3020000-104-1969-02819","1969-08-23","","03","폐업","02","폐업","1994-09-02","","","","0207930311","125.43","140-883","서울특별시 용산구 한강로3가 65-9번지 ","","","한강","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196768.132356945    ","446931.975248096    ","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","125.43","","",""
"3020000","3020000-104-1969-02831","1969-11-27","","03","폐업","02","폐업","1989-02-25","","","","0207014135","99.47","140-875","서울특별시 용산구 한강로2가 225-6번지 ","","","학","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196998.220997242    ","447272.715789168    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","99.47","","",""
"3020000","3020000-104-1969-02837","1969-11-11","","03","폐업","02","폐업","1991-09-20","","","","02 7945575","45.50","140-871","서울특별시 용산구 한강로2가 331-1번지 ","","","은도","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","2","학교정화(상대)","지도","상수도전용","","","","","","","","","N","45.5","","",""
"3020000","3020000-104-1969-02842","1969-10-10","","03","폐업","02","폐업","1991-10-15","","","","02 7126493","80.98","140-832","서울특별시 용산구 용문동 41-19번지 ","","","연진","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196393.095929877    ","448250.303417442    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","80.98","","",""
"3020000","3020000-104-1969-02872","1969-11-24","","03","폐업","02","폐업","1994-09-07","","","","0207144102","78.64","140-821","서울특별시 용산구 동자동 43-79번지 ","","","장미","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","78.64","","",""
"3020000","3020000-104-1969-02881","1969-07-24","","03","폐업","02","폐업","1997-04-30","","","","02 7125427","67.07","140-848","서울특별시 용산구 원효로3가 1-33번지 ","","","꽃샘","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","196409.242763396    ","448131.374883013    ","다방","0","3","주택가주변","지도","상수도전용","","","","","","","","","N","67.07","","",""
"3020000","3020000-104-1969-02882","1969-02-10","","03","폐업","02","폐업","1989-07-20","","","","0207137297","87.17","140-845","서울특별시 용산구 원효로1가 40-4번지 ","","","삼원","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","87.17","","",""
"3020000","3020000-104-1969-02883","1969-08-21","","03","폐업","02","폐업","2000-08-31","","","","","91.52","140-131","서울특별시 용산구 청파동1가 154-13번지 ,14,15 ","","","별","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197298.319591868    ","449617.008152704    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","91.52","","",""
"3020000","3020000-104-1969-02895","1969-09-16","","03","폐업","02","폐업","1994-09-07","","","","0207144343","69.96","140-806","서울특별시 용산구 갈월동 69-5번지 ","","","빠리","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197451.044705273    ","449107.881485424    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","69.96","","",""
"3020000","3020000-104-1969-02897","1969-04-21","","03","폐업","02","폐업","1991-11-07","","","","02 7144571","74.74","140-806","서울특별시 용산구 갈월동 69-47번지 ","","","뷔엔나","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","197422.861109898    ","449122.037852775    ","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","74.74","","",""
"3020000","3020000-104-1969-03125","1969-05-01","","03","폐업","02","폐업","1991-04-10","","","","0207937333","103.09","140-895","서울특별시 용산구 한남동 732-24번지 ","","","플레이보이클럽","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","과자점","199671.335237941    ","447986.812088116    ","과자점","2","4","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","103.09","","",""
"3020000","3020000-104-1969-03129","1969-09-23","","03","폐업","02","폐업","1994-11-29","","","","0207125137","57.00","140-848","서울특별시 용산구 원효로3가 165-2번지 ","","","원신당","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","과자점","","","과자점","2","1","주택가주변","지도","상수도전용","","","","","","","","","N","57","","",""
"3020000","3020000-104-1969-03160","1969-09-16","","03","폐업","02","폐업","1989-07-03","","","","0207144141","187.98","140-806","서울특별시 용산구 갈월동 69-5번지 ","","","파리제과","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","과자점","197451.044705273    ","449107.881485424    ","과자점","1","3","기타","지도","상수도전용","","","","","","","","","N","187.98","","",""
"3020000","3020000-104-1970-02571","1970-08-12","","03","폐업","02","폐업","1995-08-18","","","","02 7124254","133.35","140-847","서울특별시 용산구 원효로2가 72-13번지 ","","","태평양","2001-09-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","2","기타","지도","상수도전용","","","","","","","","","N","133.35","","",""
"3020000","3020000-104-1970-02611","1970-07-29","","03","폐업","02","폐업","1995-07-24","","","","02 7933057","75.14","140-861","서울특별시 용산구 이태원동 305-7번지 ","","","꽃","2004-02-12 00:00:00","I","2018-08-31 23:59:59.0","과자점","198878.785602203    ","448502.183961771    ","과자점","0","2","기타","지도","상수도전용","","","","","","","","","N","75.14","","",""
"3020000","3020000-104-1970-02616","1970-06-08","","03","폐업","02","폐업","2003-04-29","","","","02 7946423","153.25","140-889","서울특별시 용산구 한남동 107-8번지 ","","","황태자","2002-03-27 00:00:00","I","2018-08-31 23:59:59.0","다방","","","다방","0","3","기타","지도","상수도전용","","","","","","","","","N","153.25","","",""
